dt,client_id,event_type,content_id,watch_time_min
2025-04-19 13:02:27,1025,click_banner,126,
2025-04-07 11:21:16,1754,view_banner,380,
2025-04-26 20:57:25,1089,click_banner,17,
2025-04-01 20:44:19,1223,view_banner,309,
2025-04-01 18:28:08,1203,click_banner,360,
2025-04-16 19:16:45,1225,view_banner,143,
2025-04-24 11:21:48,1006,start_watch,82,
2025-04-21 05:54:18,1348,view_banner,111,
2025-04-28 18:13:13,1344,view_banner,195,
2025-04-03 19:18:52,1867,view_banner,136,
2025-04-24 09:45:40,1747,view_banner,64,
2025-04-29 05:17:18,1387,view_banner,151,
2025-04-25 01:15:56,1633,start_watch,186,
2025-04-17 17:50:13,1721,view_banner,339,
2025-04-07 14:37:01,1296,finish_watch,438,60
2025-04-26 03:04:21,1389,view_banner,326,
2025-04-25 04:32:27,1166,view_banner,108,
2025-04-20 10:26:30,1718,finish_watch,332,19
2025-04-18 15:57:18,1175,click_banner,126,
2025-04-05 17:43:41,1388,view_banner,474,
2025-04-19 13:26:23,1570,view_banner,167,
2025-04-25 10:37:29,1794,view_banner,421,
2025-04-01 22:20:30,1323,view_banner,34,
2025-04-07 02:50:38,1965,click_banner,368,
2025-04-10 03:00:56,1671,view_banner,453,
2025-04-27 12:31:30,1469,view_banner,72,
2025-04-08 03:39:09,1574,click_banner,383,
2025-04-17 22:52:18,1919,click_banner,186,
2025-04-07 08:38:50,1141,click_banner,47,
2025-04-22 22:01:27,1881,view_banner,322,
2025-04-05 15:20:50,1696,view_banner,33,
2025-04-12 03:47:52,1610,finish_watch,271,65
2025-04-29 03:52:13,1881,finish_watch,349,30
2025-04-20 18:28:13,1549,start_watch,394,
2025-04-19 14:06:33,1114,view_banner,81,
2025-04-14 03:47:30,1976,click_banner,369,
2025-04-08 15:19:07,1512,start_watch,260,
2025-04-27 11:11:20,1891,click_banner,431,
2025-04-19 12:42:31,1623,view_banner,192,
2025-04-23 02:42:27,1552,finish_watch,473,136
2025-04-27 15:16:17,1613,view_banner,10,
2025-04-04 05:51:35,1371,start_watch,426,
2025-04-24 09:30:54,1245,view_banner,450,
2025-04-17 10:52:49,1080,view_banner,249,
2025-04-24 15:57:07,1778,click_banner,65,
2025-04-04 17:21:37,1486,finish_watch,85,68
2025-04-16 07:15:39,1621,view_banner,109,
2025-04-27 22:31:25,1773,click_banner,103,
2025-04-21 16:12:44,1408,finish_watch,333,96
2025-04-13 16:55:03,1529,view_banner,127,
2025-04-07 12:23:21,1346,view_banner,284,
2025-04-07 16:09:35,1225,view_banner,363,
2025-04-19 07:14:51,1234,view_banner,17,
2025-04-25 22:18:22,1072,click_banner,143,
2025-04-20 09:36:30,1219,click_banner,371,
2025-04-28 03:07:04,1584,click_banner,125,
2025-04-23 18:05:42,1826,view_banner,49,
2025-04-03 19:27:49,1441,view_banner,211,
2025-04-14 13:02:57,1746,view_banner,335,
2025-04-29 12:58:44,1100,view_banner,373,
2025-04-10 20:09:16,1882,view_banner,99,
2025-04-06 12:23:07,1459,view_banner,94,
2025-04-09 01:52:02,1255,start_watch,39,
2025-04-13 20:25:08,1882,start_watch,51,
2025-04-02 11:12:34,1553,start_watch,497,
2025-04-03 16:54:39,1771,start_watch,86,
2025-04-12 18:51:51,1492,view_banner,206,
2025-04-27 04:06:00,1168,view_banner,200,
2025-04-08 16:34:52,1802,start_watch,147,
2025-04-13 06:24:47,1980,click_banner,402,
2025-04-17 02:48:53,1735,view_banner,98,
2025-04-09 14:30:31,1991,view_banner,377,
2025-04-16 17:22:04,1765,view_banner,26,
2025-04-17 22:35:15,1514,finish_watch,272,41
2025-04-02 15:35:17,1520,view_banner,96,
2025-04-02 23:41:27,1069,click_banner,121,
2025-04-12 17:01:40,1964,start_watch,127,
2025-04-17 18:55:39,1040,click_banner,215,
2025-04-20 01:31:54,1578,click_banner,479,
2025-04-08 13:29:34,1685,click_banner,123,
2025-04-08 16:52:03,1134,click_banner,154,
2025-04-14 06:13:41,1951,start_watch,38,
2025-04-01 06:29:00,1636,finish_watch,52,19
2025-04-16 14:11:36,1518,view_banner,478,
2025-04-11 02:54:36,1070,start_watch,190,
2025-04-09 06:21:04,1448,start_watch,361,
2025-04-09 18:33:06,1826,click_banner,5,
2025-04-20 08:49:58,1567,view_banner,340,
2025-04-04 00:05:46,1899,view_banner,60,
2025-04-26 19:14:24,1760,click_banner,140,
2025-04-09 04:06:08,1215,click_banner,105,
2025-04-20 22:29:52,1873,view_banner,251,
2025-04-08 06:46:49,1929,start_watch,48,
2025-04-19 09:27:43,1849,view_banner,2,
2025-04-10 16:09:19,1133,click_banner,135,
2025-04-05 16:27:39,1452,click_banner,219,
2025-04-17 06:23:28,1114,view_banner,453,
2025-04-21 00:56:58,1152,click_banner,428,
2025-04-11 16:58:27,1565,view_banner,66,
2025-04-02 05:06:46,1373,start_watch,408,
